model,arm,seed,feature_len,game_state_dim,model_dim,num_layers,window,params,val_loss,test_ade,n_test_nonmirrored
hybrid_ts,everything,0,37,18,128,4,15,882800,2.352,4.3135,80062
hybrid_ts,everything,1,37,18,128,4,15,882800,2.372,4.2924,80062
hybrid_ts,everything,2,37,18,128,4,15,882800,2.376,4.3207,80062
