bucket,n,b0,b1,b2,b2o,b2a
OVERALL,80062,15.599957898994596,8.387445393021867,6.950899329961098,5.818862788658505,5.627762937926051
after tackle,7480,13.189397706451341,0.6678980998690902,3.023479806942807,0.139909561493814,0.12831436625410736
0-5,9355,13.18810094850087,0.682100664176823,2.8497248565525712,0.1287440803343627,0.121652451939687
5-10,9248,13.299916750134006,2.631720847984306,1.7875145857719255,0.7463804576501792,0.693700569694187
10-15,8679,13.872731629125104,4.717234880315478,1.6910696083203236,1.8825455598002507,1.7481205841856855
15-20,7952,14.545785952822259,6.821282275458707,3.333266594403463,3.4247512001144647,3.209061375953404
20-25,7228,15.160882232385237,8.903872484000535,5.420022483145208,5.194272422299877,4.9190086696607915
25-30,6443,15.753480800430324,10.8629524125048,7.61865379239893,6.954856572777227,6.6898608182575385
30+,23677,19.292256565768977,17.15883170438539,15.257478747106342,13.970932351992357,13.629640612922104
